	Date	Sentence	SentenceCtxt	SentenceId	TargetExpression	animacy	humanness
0	1891	Poetic RMS OF THE CITY OF MANCHESTEI legends might seem out of place in a great commercial city ‚Äî the spinning-jenny and the steam- ***engine*** have been long known to be inimical to nymphs and fairies ‚Äî but Man chester, for all that, existed when there were giants in the land, and has its place in the life of a hero no less doughty than Sir Launcelot of the Lake.	That there was a Roman camp on Castlefield, with- in the area of the city, there is no doubt ; that it occupied the site of an earlier British settlement historians have asserted; that it may claim to have been inhabited for nearly eighteen hundred years cannot be disputed ; but this is not all. [SEP] Poetic RMS OF THE CITY OF MANCHESTEI legends might seem out of place in a great commercial city ‚Äî the spinning-jenny and the steam- ***engine*** have been long known to be inimical to nymphs and fairies ‚Äî but Man chester, for all that, existed when there were giants in the land, and has its place in the life of a hero no less doughty than Sir Launcelot of the Lake. [SEP] To quote from a ballad	002732647_02_180_7	engine	0.0	0.0
1	1880	Immured in a convent, debarred from life-giving air and light, and the beauty of life, we cease to be living, feeling, thinking girls and women, we become mere ***machines*** who blindly obey the head that directs us.	and sounds of His creation. [SEP] Immured in a convent, debarred from life-giving air and light, and the beauty of life, we cease to be living, feeling, thinking girls and women, we become mere ***machines*** who blindly obey the head that directs us. [SEP] I have often tried to solve this mystery — but I suppose I am too ignorant, for I cannot make it come right.	003176106_01_278_2	machines	1.0	0.0
2	1871	"Still, before these moral stumps are removed, both time and "" stumping ***machine*** "" will have to do their respective work."	"The re moval of the former, however, is much easier than the overthrow of the latter, and when removed they are not so likely to return. [SEP] Still, before these moral stumps are removed, both time and "" stumping ***machine*** "" will have to do their respective work. [SEP] In a conversation I had with an old friend of our cause, Mr Naismith of Toronto, he said, "" I was one of the first who stood by John Dunlop, when he began to advocate the cause in Glasgow."	001028082_01_132_8	machine	1.0	0.0
3	1893	100 shows a Cornish ***boiler*** improperly seated with one small side flue and a bottom flue.	Fig. [SEP] 100 shows a Cornish ***boiler*** improperly seated with one small side flue and a bottom flue. [SEP] The effect of this on a long boiler is to cause springing and leakage of the seams from the heat being applied to one side of the boiler only.	002757962_01_184_16	boiler	0.0	1.0
4	1883	Laws are too apt to be regarded as if intended to supply an income for lawyers, to keep in existence a complicated mass of law courts and legal ***machinery*** .	What a deal of time, trouble, expense, and misery would have been saved to mankind if our legislators had considered more what they were legislating about, those for whom they were legislating, and the effect upon society of their work ! [SEP] Laws are too apt to be regarded as if intended to supply an income for lawyers, to keep in existence a complicated mass of law courts and legal ***machinery*** . [SEP] Instead of adding to our laws, the greatest boon to mankind would be for a committee to examine every existing law and cancel all those that are obsolete, or impede the progress, or are detrimental to the interests and freedom, of the individual.	002932979_02_121_10	machinery	0.0	0.0
5	1873	Now that we were free from all fear of encountering bad cha racters in the house, the boom-boom of the little man's big voice went on unintermittingly, like a ***machine*** at work in the neigh bourhood.	This settled, the one last embarrass ment left to deal with, was the embarrassment of Mr. Finch. [SEP] Now that we were free from all fear of encountering bad cha racters in the house, the boom-boom of the little man's big voice went on unintermittingly, like a ***machine*** at work in the neigh bourhood. [SEP] I had another of my inspirations — sitting on the floor with Oscar's head on my lap.	000748965_01_98_11	machine	1.0	0.0
6	1887	‚Äî It would be ruinous to the ***engines*** to let them stand idle too long.'	dear no, Count Nugent, — she is to remain here whilst I remain — I am to live in her — and, in fine weather, I hope to have the pleasure of taking you and all here on little voyages up and down the coast. [SEP] ‚Äî It would be ruinous to the ***engines*** to let them stand idle too long.' [SEP] ' I should so much like to see the steamer,' said Mrs. Harding, eagerly, — ' I am told she is beautifully fitted up.'	000634584_03_78_5	engines	0.0	0.0
9	1878	In October 1829 four different inventors sent ***engines*** to compete for the prize.	for the best locomotive that could be made. [SEP] In October 1829 four different inventors sent ***engines*** to compete for the prize. [SEP] Stephenson and his son Robert con structed the ' Rocket ' to take part in the competition.	003842724_03_49_15	engines	1.0	0.0
10	1845	This cabin, situated on one side of the deck, is much more airy than the saloons below, and the ***machines*** work so quietly that I can write without any difficulty.	I have a very convenient wide sofa with steel springs, a tolerably large table, upon which I can very well arrange my portfolio, and, over the dressing-table, even the luxury of a mirror. [SEP] This cabin, situated on one side of the deck, is much more airy than the saloons below, and the ***machines*** work so quietly that I can write without any difficulty. [SEP] This I never could do before in any steamer; and it is a great satisfaction to me, because it will materially shorten the unavoidable ennui of the voyage.	001563717_01_75_9	machines	0.0	0.0
11	1869	It proves, also, that the Western people are not disposed to accept the destiny kindly offered them by their Eastern brethren, of confining themselves to tbe hand work of agriculture ‚Äî leaving to the old States the whole field of ***machine*** labor.	It proves that our fertile fields, after supplying food to everybody in foreign lands who will buy, and feeding the cities and towns of the Atlantic States, have sufficed to feed a rapidly growing town population at home. [SEP] It proves, also, that the Western people are not disposed to accept the destiny kindly offered them by their Eastern brethren, of confining themselves to tbe hand work of agriculture ‚Äî leaving to the old States the whole field of ***machine*** labor. [SEP] Although the land on which the people of the great valley have but recently entered is new, the civil, social, and economical condition of this people is advanced nearly to the highest point of tho oldest communities.	003053567_01_138_4	machine	0.0	0.0
12	1823	After much exertion, by means of anchors and poles, with the aid of the ***engine*** , and all the men, who were under the necessity of jumping into the river, we at length succeeded in getting her off, and ran down to the Cave, where we laid by for the night.	"We left Shawaneetown at twelve o'clock on the 28th, and stopped three miles below, to take in wood ; then proceeding forward, at four P. M. we ran aground on a sand bar, seven miles above the "" Cave Inn,"" or "" House of Nature."" [SEP] After much exertion, by means of anchors and poles, with the aid of the ***engine*** , and all the men, who were under the necessity of jumping into the river, we at length succeeded in getting her off, and ran down to the Cave, where we laid by for the night. [SEP] Early the next morning, we went to visit the cave, of the entrance to which two views were sketched by Mr. Sey mour."	001846073_01_52_11	engine	0.0	0.0
13	1888	The mules have more vim and malicious energy than the steam- ***engine*** .	For we went thundering on, regardless of beast or bird. [SEP] The mules have more vim and malicious energy than the steam- ***engine*** . [SEP] Here and there a poor plantation was passed, and the house was invariably an open-work struc ture of cane, with a heavily thatched roof.	003853499_01_238_2	engine	0.0	0.0
14	1847	Under this point of view, Ma ret, who was a true official ***machine*** , was the very man whom the Emperor wanted.	Napo leon did not think himself secure in confiding the weight of affairs so important to any other person than Maret, the chief of his secretariat— that is to say, all foreign affaire were, from that moment, concentrated in his cabinet, and received no other impulse than from him. [SEP] Under this point of view, Ma ret, who was a true official ***machine*** , was the very man whom the Emperor wanted. [SEP] He really admired his master, with whose thoughts, secrets, and inclinations he was acquainted.	003316905_02_617_24	machine	1.0	0.0
15	1898	On passing Cleckheaton Branch junction at Mirfield the ***engine*** driver of a goods train from the branch overran the junction stop signal, and failed to bring his train to a stand before his ***engine*** fouled the up main line.	On the night of the 7th January, 1861, a serious accident occurred to the Bangor mail train, due to leave Normanton at 10-30 p.m. for Huddersfield, Crewe, and Bangor. [SEP] On passing Cleckheaton Branch junction at Mirfield the ***engine*** driver of a goods train from the branch overran the junction stop signal, and failed to bring his train to a stand before his ***engine*** fouled the up main line. [SEP] At the time snow was falling very heavily, and covered the ground to the depth of some eight or ten inches.	002671148_01_87_8	engine	0.0	0.0
16	1868	But how is it when the engine itself breaks down, or the ***locomotive*** is embedded in a snow bank, as is sometimes the case ?	The lack of water at a station when waiting for a train, obliges the engineer to run back and forth upon the road ; and if a boat stops at a wharf, or is enveloped in a fog, the power that works the pump ceases with the engine. [SEP] But how is it when the engine itself breaks down, or the ***locomotive*** is embedded in a snow bank, as is sometimes the case ? [SEP] Why, the engineer must draw his fires to avoid ruining his boiler.	003734531_01_292_8	locomotive	0.0	0.0
17	1849	It was amusing to watch this rough and novel species of tournament, the sturdy ***engines*** sometimes nearly breaking a lance with the enemy, and at others disappearing for a moment, amid a cloud of snowy fragments, scattered about in all directions, as if a mine had been sprung.	"were sometimes thrown ""all of a heap "" by these ope rations into the fore-part of their respective carriages, the train would be detached, and the locomotives set at it themselves, taking a good race, so as to strike with the more effect. [SEP] It was amusing to watch this rough and novel species of tournament, the sturdy ***engines*** sometimes nearly breaking a lance with the enemy, and at others disappearing for a moment, amid a cloud of snowy fragments, scattered about in all directions, as if a mine had been sprung. [SEP] The breach at length made, back they would come for the train, which they tugged along like so many camp followers, until a fresh obstacle had to be stormed."	002319808_01_154_2	engines	1.0	1.0
18	1887	A general idea may be conveyed of him when I say that ho lives like a ***machine*** .	Hence if you wish to form a more accurate estimate of the English character, you must see John Bull more specially when he is not involved in the meshes of party politics. [SEP] A general idea may be conveyed of him when I say that ho lives like a ***machine*** . [SEP] At home or in society you find that he has so much artificialised life as to carry the science of etiquette to something like absolute, though tiresome perfection.	002606645_01_70_5	machine	1.0	0.0
19	1875	2 With the assistance of this little ***apparatus*** the snuff-taker may himself provision his nostrils, but the large ***apparatus*** , each tube of which is more than six inches long, cannot be used without the help of a comrade, who introduces one of the tubes into each nostril of the snuff-taker in turn.	All these species, as the learned Humboldt has well observed, are confined to certain regions which they never leave, and which are so clearly defined, that a league before reaching the territory of the Conibos, one may pass the night under the sky without feeling a single zancudo, whilst the instant we set foot among those indigenes it is impossible to sleep without a mosquito-curtain. [SEP] 2 With the assistance of this little ***apparatus*** the snuff-taker may himself provision his nostrils, but the large ***apparatus*** , each tube of which is more than six inches long, cannot be used without the help of a comrade, who introduces one of the tubes into each nostril of the snuff-taker in turn. [SEP] The operation is of course performed turn and turn about, and the active r&le of insuffleur is exchanged by each of the two individuals for the passive one of insuffle.	002378387_01_506_11	apparatus	0.0	0.0
20	1866	To the former, that he is no mere ***machine*** , warranted to feed another ***machine*** with a certain amount of Latin and Greek per diem ‚Äî but a living, acting, thinking man, whose experience of hfe must be brought to bear upon those young hearts with which he had to deal.	graduates, who could talk sweetly of irresistible grace, original sin, and the inward call, and were usually the greatest dunces in the University ; the Broad Church party has manfully stepped for ward, teaching tutor and tutored alike. [SEP] To the former, that he is no mere ***machine*** , warranted to feed another ***machine*** with a certain amount of Latin and Greek per diem ‚Äî but a living, acting, thinking man, whose experience of hfe must be brought to bear upon those young hearts with which he had to deal. [SEP] And to the latter, that the University system is one of education, not mere cramming, education and development of all powers, both of mind and body, and that it is the due union of both these which makes the true man.	000699753_01_238_2	machine	1.0	1.0
21	1892	Safe to assist at the entertainment ‚Äî for it had never entered her head that Safe, whom she looked upon as a mere legal ***machine*** , could venture to look upon her with other eyes than those befitting a junior partner ‚Äî of the firm, nothing more.	29 Thus re-assured, Miss Garnish announced her intention of asking Mr. Seebright to dinner, as soon as he arrived — and of requesting Mr. [SEP] Safe to assist at the entertainment ‚Äî for it had never entered her head that Safe, whom she looked upon as a mere legal ***machine*** , could venture to look upon her with other eyes than those befitting a junior partner ‚Äî of the firm, nothing more. [SEP] The sealing-wax, thereupon, retired from the august presence, together with the ex-clerk ; whose customary habit3 abandoned him utterly during the remainder of the day.	002796286_01_33_3	machine	1.0	0.0
22	1887	Where it is desired to drive from both sides, this arrangement is less powerful than that in the belt ***locomotive*** .	In this form also we have line contacts, and two paths for the discs and rod. [SEP] Where it is desired to drive from both sides, this arrangement is less powerful than that in the belt ***locomotive*** . [SEP] In the South American locomotive I drive from one side only, leaving the off-side roller free to revolve as it pleases.	001861480_02_273_13	locomotive	0.0	0.0
23	1893	The parish or municipality pays no rates and taxes, buys its raw material as cheap as the con tractor, uses its engineers and staff engaged for control without extra payment, but it is hampered by the system of accounts, has to pay its staff at the depots, the rent of same, and interest on cost of ***machinery*** plus repairs, whether work is going on or not, and in case of failure has no one to hold	In Paris the city lays its own wood, rolls its own macadam, does its own paving repairs, though not those for kerbs, does its street-cleaning, but not the carting away of dung, detritus, rubbish, and snow. [SEP] The parish or municipality pays no rates and taxes, buys its raw material as cheap as the con tractor, uses its engineers and staff engaged for control without extra payment, but it is hampered by the system of accounts, has to pay its staff at the depots, the rent of same, and interest on cost of ***machinery*** plus repairs, whether work is going on or not, and in case of failure has no one to hold [SEP] 72 NATURAL ASPHALT.	000897836_01_83_8	machinery	0.0	0.0
24	1861	"The fullest account,"" writes the late Mr. Disraeli, "" I have found of one of these entertainments ‚Äî which at once shew the curiosity of the scenical ***machinery*** , and the fancy of the poet, the richness of the crimson habits of the gentlemen, and the white dresses, the white herons' plumes and jewelled head dresses and ropes of pearl of the ladies ‚Äî was in a manu script letter of the time, with which I supplied the editor * "" Embassy to England "" in 1G26."	"* The magnificent masques which were represented at Whitehall under the auspices of Charles will be remem bered as long as Milton, Ben Jonson, Fletcher, and Inigo Jones shall continue to be classic names. "" [SEP] The fullest account,"" writes the late Mr. Disraeli, "" I have found of one of these entertainments ‚Äî which at once shew the curiosity of the scenical ***machinery*** , and the fancy of the poet, the richness of the crimson habits of the gentlemen, and the white dresses, the white herons' plumes and jewelled head dresses and ropes of pearl of the ladies ‚Äî was in a manu script letter of the time, with which I supplied the editor * "" Embassy to England "" in 1G26. [SEP] WHITEHALL IN CHARLES THE FIRST'S TIME."	001165041_02_42_10	machinery	0.0	0.0
