record_id,title,author,date,place,country,language,publisher,genre,n_annotations
14603046,"The Canadian farmer. A missionary incident [Signed: W. J. H. Y, i.e. William J. H. Yates.]","Yates, William Joseph H.",1879,London,England,English,,Fiction,5
14605595,"A new musical Interlude, called the Election [By M. P. Andrews.]",,1774,London,England,English,,Can't tell,5
14605643,An Elegy written among the ruins of an Abbey. By the author of the Nun [E. Jerningham],,1765,London,England,English,J. Dodsley,Fiction,5
14616539,The Baron's Daughter. A ballad by the author of Poetical Recreations [i.e. William C. Hazlitt] . F.P,,1877,Edinburgh,Scotland,English,"Ballantyne, Hanson",Fiction,5
14616550,"A Little Book of Verse, etc","Bell, Raimonde, pseudonym [i.e. James Pickering Jones]",1893,London,England,English,Poetry & Prose,Fiction,4
14616561,The Autumn Leaf Poems,"Bingham, Ashton, Mrs",1891,Edinburgh,Scotland,English,Colston,Fiction,5
14616607,"The Battle of Waterloo, a poem","Cartwright, William",1827,London,England,English,Longman,Fiction,5
14616686,"Maximilian, and other poems, etc","Earle, John Charles",1868,London,England,English,,Fiction,5
14616696,Fabellæ mostellariæ: or Devonshire and Wiltshire stories in verse; including specimens of the Devonshire dialect,,1878,Exeter  London,England,English,"Hamilton, Adams ; Henry S. Eland",Fiction,4
14616791,"The Grave of a Hamlet and other poems, chiefly of the Hebrides ... Selected, with an introduction, by his son J. Hogben","Hogben, William Smith",1895,Edinburgh,Scotland,English,Darien Press,Fiction,5
14616823,Plays for my Pupils. In prose and verse,"Jackson, E. Maude",1893,London,England,English,E. Stanford,Fiction,5
14616840,"Sporting Songs, etc [Words only.]","Kay, Thomas",1897,,,English,,Fiction,5
14616869,Sonnets,"Lofft, R. E.",1879,Bury St Edmunds,,English,,Fiction,5
14616941,Lyrics. By Nomad,,1899,London,England,English,Jarrold,Fiction,5
14617054,"Songs of a Heart's Surrender, and other verse","Salmon, Arthur L. (Arthur Leslie)",1895,Edinburgh,Scotland,English,W. Blackwood,Fiction,5
14617070,"The Dual Image; or, the Renewal of the Temple. A mystical poem of life","Sharpe, William",1896,London,England,English,H. A. Copley,Fiction,5
14617094,'Shall he live again?' [A poem.],"Stapelton, Josiah Glode",1876,London,England,English,,Fiction,4
14617137,Trick for Trick or the Admiral's Daughter. A farce in two acts,,1812,London,England,English,,Fiction,5
