year,name,sex,frequency
1880,Mary,F,7065
1880,Anna,F,2604
1880,Emma,F,2003
1880,Elizabeth,F,1939
1880,Minnie,F,1746
1880,Margaret,F,1578
1880,Ida,F,1472
1880,Alice,F,1414
1880,Bertha,F,1320
1880,Sarah,F,1288
1880,Annie,F,1258
1880,Clara,F,1226
1880,Ella,F,1156
1880,Florence,F,1063
1880,Cora,F,1045
1880,Martha,F,1040
1880,Laura,F,1012
1880,Nellie,F,995
1880,Grace,F,982
1880,Carrie,F,949
1880,Maude,F,858
1880,Mabel,F,808
1880,Bessie,F,796
1880,Jennie,F,793
1880,Gertrude,F,787
1880,Julia,F,783
1880,Hattie,F,769
1880,Edith,F,768
1880,Mattie,F,704
