TextSnippet	MachineType	Date	Category	Humanness	Animacy	split
.  and had almost resolved to go Wffik, when he heard the faint, dis tant scream of a locomotive and the sound recalled him to himself.  He saw that there Was a man who Was carrying the lantern, and within a minutes more he had run up, almost out of breath, aud was brokenly telling his story of what he had seen ahead, to which ha trackman listened in silence.	locomotive	1890	machine as a human	1	1	train
I once made an experiment of this kind on a child's chair, by doing some things to it, and adding a sail, which succeeded beyond expectation, but with an un foreseen circumstance that was very near giving me great cause to regret my mechanism.  For the wind being brisk, carried away the little machine and passenger in it with such rapidity, that myself as well as the nurse, who almost swooned away, was in no small terror.  There was, indeed, a precipice before it, which I thought at too great a distance for any danger.	machine	1887	machine is inanimate object without agency	0	0	train
hot-house, the forced labour of the beast iu the field; well-trained, aud well-fed, it may be; but beast-like, machine-like, slavish, nevertheless.  And if the man is but the machine of the State, women and children of course are but the same.  What meaning can there be iu all those mysterious affinities and sympathies, through which the parents lay the groundwork of the education of the child ?	machine	1836	other	0	0	train
"The next fifteen or twenty years may, therefore, be regarded as the ""golden era"" of sea-bathing at Brighton.  The score or two of machines stationed at the bathing-places at the east and west ends of the town were always at a premium.  To obtain them at all was, in fact, a favour ; and it was a common practice with ladies to bespeak them the previous night."	machines	1892	machine is inanimate object without agency	0	0	train
THE LAST OF THE BARONS.  28 ray ; for Coniers was a leader of singular practice in reduc ing men into the machinery of war, and where his skill might have failed, the prodigious influence and energy of Robin of Redesdale ruled the passions and united the dis cordant elements.  This last was, indeed, in much worthy the respect in which Warwick held his name.	machinery	1895	human as a machine	0	1	train
"The same authority states that the artillery are "" rough-and-ready.""  And in truth the Persian is no fine-weather soldier ; nor is he a mere fighting machine.  Hardy and of powerful physique, he is at the same time very intelligent, amenable to discipline, sober, and ready to follow his officers if he can only trust them."	machine	1886	human as a machine	1	1	train
Meeting with no aid from those around him, and knowing they were incapacitated from giving sound advice, he kept his own counsel and confided in no one.  So subtle was his mind, and so sudden and resolute was he in action, his people learned simply to obey his directions, and became mere machines in his hands.  But machines in time become ruined and destroyed, and Theodorus began to find his engines of destruction wearing out from perpetual work.	machines	1870	human as a machine	0	1	train
FRAGMENTS.  331 And the hum of the hot blood that spouts and rains Where the gripe of the tiger has wounded the veins S woln with rage, strength, and effort ; the whirl and the splash, As of some hideous engine whose brazen teeth smash The thin winds and soft waves into thunder ; the screams And hissings ‚Äî crawl fast o'er the smooth ocean-streams, Each sound like a centipede.  Near this commotion, A blue shark is hanging within the blue ocean, The fin- winged tomb of the victor.	engine	1870	machine as a human	1	1	train
Now that West-African war-drum had been made to signal across estuaries and deltas.  Num ber Five was forbidden to wake the engine within ear-shot of the school.  But a deep, devastating drone filled the passages as McTurk and Beetle scientifically rubbed its top.	engine	1897	machine as a human	1	1	train
In what manner the water was withdrawn from the mines, we are not informed ; it is however probable that the Greeks made use of the same artificial means as the Romans72.  The removal of the ore appears to have been performed partly by machines and partly by men, as was the case in Egypt and Spain, in which latter country, the younger slaves brought the ore through the adits to the surface of the soil : whether however the miners in Attica used leather bags for this purpose, and were on that account called bag-carriers (%vXaxo<pogoi), is, to say the least, uncertain ; for according to the grammarians these bags contained their food73.  The stamping of the ore at the foundries 69 Casaubon ad Strab.	machines	1828	machine is agent (purpose/work)	0	0	train
The original building was burned down in 1826, and they then removed further down into a btick building, but the dam, built in 1839, drowned them out, and they again moved, going to .where the VanGorder property is, into a building still standing.  Edward Spear fitted up machinery in 1848 on the corner of Market and Pine streets, for the manufacture of doors, sash, and blinds.  In 1854 it was removed to its present site an Canal street.	machinery	1882	machine is inanimate object without agency	0	0	train
To these more serious and momentous considerations it may be proper to add a recollection of the ridiculous ness of the military character.  Its first constituent is obedience : a soldier is, of all descriptions of men, the most completely a machine ; yet his profession inevitably  NOTES TO QUEEN At AB.	machine	1888	human as a machine	1	1	train
The mysteries of his own bosom were bare to him ; but he could compre hend them only in their immediate relation to the world outside.  This hateful world had caught him and transformed him to a machine.  The discovery he made was, that in the gratification of the egoistic instinct we may so beset our selves as to deal a slaughtering wound upon Self to whatso ever quarter we turn.	machine	1897	human as a machine	0	1	train
The result, however, was unfor tunate.  In the then state of steam machinery long sea voyages could not be attempted with profit, and the project was abandoned.  Nothing daunted by this failure, Mr. AVilliams and his coadjutor, Mr. Francis Carleton, applied themselves to the carrying out of a scheme for steam navigation to the East, for which purpose the Peninsular and Oriental Company was Peninsular formed.	machinery	1875	machine is instrument	0	0	train
"Among the other spectacles of "" rare and stupendous luxury, was a tree of gold "" and silver spreading into eighteen large branches, "" on which, and on the lesser boughs, fat a "" variety of birds made of the fame precious me "" tals, as well as the leaves of the tree.  While "" the machinery affected spontaneous motions, "" the several birds warbled their natural harmony. ""  Through this scene of magnificence, the Greek "" ambassador was led by the visir to the foot of "" the caliph's throne43."""	machinery	1802	machine is agent (purpose/work)	0	0	train
"This is not an open battle, but a secret ambuscade : 1 wish to be prepared for attack ; but it is not desir able I should seem to need such preparation.""  Without waiting for a word of objection or reply, he turned away, He went up-stairs to talk to Madame Lascours ; he left her alone in his study to perform the office of a calculating machine.  The coffee Adele did not touch ; she was all fire, aU burning with eagerness to do her task and go up-stairs."	machine	1862	machine is agent (mental state)	1	1	train
This makes a secure covering.  Though the coal is very sound in the mine, and presents a handsome appearance after it is extracted, it soon crumbles on exposure to the air, and the railroad men do not speak well of it for locomotive use.  It crumbles in the fire, and makes clinkers that melt and stick to the bars.	locomotive	1873	machine is inanimate object without agency	0	0	train
263 POOR LOST MOGGY.  inspected the curious little boxes by the side of the carriages, and administered to some a dose of primrose-coloured powder from a can he carried in Ms hand, and the engine snorted and puffed hke an impa tient steed.  Just as we turned at the further end of the platform to come back again, and while the three minute bell was clanging in our ears, I caught sight of two figures emerging from the station, the one with old bent frame and grey hair, talking earnestly, emphatically — the other, a young powerful figure, hstening, but with a de jected, wretched air, and eyes fixed gloomily on the ground.	engine	1865	machine as a human	1	1	train
"So long as they only treated me to extra guards, C.B.  cells, even, I stuck it out ; but when it came to personal abuse from the corporal-major‚Äî my witnesses will tell you of what sort‚Äî well, sir, I am a machine, I know, but still a man ; and I consider I was perfectly justified in cramming his foul words back into the fellow's throat. ""  Sir, I did so, and this is my crime."	machine	1897	human as a machine	0	1	train
N. W. Dean, stone barn, 33 by 80 feet, in rear of the American Hotel; German Catholic Church, on Johnson street, near State street; B. W. Suckow's brick dwelling house; Sorenson & Fredrickson, stone planing mill and sash and blind manufactory; and framed dwelling houses erected by S. Hegan, C. Heinrichs, J. Y. Smith (double), W. J. Sullivan, W. Davidson, W. Deards, Mr. McGovern, and others.  In December, the first steam fire engine was received, and tried on the shore of Lake Monona, with one thousand feet of hose.  Steam power was used five minutes after the fire was made.	engine	1874	machine is inanimate object without agency	0	0	train
